"Commit","Added","Deleted"
"ef9bdec | Ali Saker | 2026-07-20 | added add contact modal","156","27"
"73fab6e | Ali Saker | 2026-07-13 | switched location from company to country","45","33"
"c128377 | Ali Saker | 2026-07-10 | created transfer between employees","544","109"
"3fd118b | Ali Saker | 2026-07-09 | created db select","202","39"
"4148937 | Ali Saker | 2026-07-07 | connected db to hr","1168","348"
"49f4ba0 | Ali Saker | 2026-07-03 | fixed some ui issues","1262","497"
"f62a6ec | Ali Saker | 2026-07-01 | enhanced report page design","606","495"
"a19e0c2 | Ali Saker | 2026-06-30 | added reports","1427","38"
"1ee8a1d | Ali Saker | 2026-06-30 | fixed inventory and added status","435","31"
"2ba1c62 | Ali Saker | 2026-06-30 | added status active","644","491"
"019bdde | Ali Saker | 2026-05-26 | added inventory","1558373","564"
"39c69fe | Ali Saker | 2026-05-15 | enhance full design","0","1456853"
"15c300e | Ali Saker | 2026-05-15 | enhance full design","269108","1106"
"49f88ee | Ali Saker | 2026-05-11 | added db","510","121"
"8e642bc | AliSaker1999 | 2026-04-30 | Lookups","450","120"
"ac59267 | AliSaker1999 | 2026-04-29 | first commit","1197995","0"
